algorithm,strategy,type,num_users,num_trans,mal_percent,success_rate,execution_time
WhatsTrust,NAIVE,Pure,100,1000,20,96.25,8.176
WhatsTrust,NAIVE,Pure,100,1000,20,95.875,7.314
WhatsTrust,NAIVE,Pure,100,1500,20,96.75540765,9.599
WhatsTrust,NAIVE,Pure,100,1000,20,95.625,26.3
WhatsTrust,NAIVE,Pure,100,1000,20,96.125,7.051
WhatsTrust,NAIVE,Pure,100,1000,20,96.75,7.445
WhatsTrust,NAIVE,Pure,100,1000,20,96.25,14.866
eigen,NAIVE,Pure,100,1000,20,92,0.396
eigen,NAIVE,Pure,100,1000,40,93.62068966,0.47
eigen,NAIVE,Pure,100,1000,60,100,0.517
eigen,NAIVE,Pure,100,1500,20,99.25124792,0.545
eigen,NAIVE,Pure,100,1500,40,92.18061674,0.554
eigen,NAIVE,Pure,100,1500,60,96.88013136,0.554
eigen,NAIVE,Pure,100,2000,20,96.53434152,0.78
eigen,NAIVE,Pure,100,2000,40,93.03691275,0.731
eigen,NAIVE,Pure,100,2000,60,91.78743961,0.874
eigen,NAIVE,Pure,100,2500,20,99.95049505,0.768
eigen,NAIVE,Pure,100,2500,40,93.2295193,0.83
eigen,NAIVE,Pure,100,2500,60,94.89489489,0.741
eigen,NAIVE,Pure,100,3000,20,96.95833333,0.915
eigen,NAIVE,Pure,100,3000,40,99.27616927,0.818
eigen,NAIVE,Pure,100,3000,60,96.92435578,0.955
eigen,NAIVE,Pure,100,3500,20,99.27509967,0.918
eigen,NAIVE,Pure,100,3500,40,93.96593674,0.888
eigen,NAIVE,Pure,100,3500,60,93.02158273,1.036
eigen,NAIVE,Pure,100,4000,20,97.57613424,1.05
eigen,NAIVE,Pure,100,4000,40,96.77945373,1.352
eigen,NAIVE,Pure,100,4000,60,87.77429467,1.423
eigen,NAIVE,Pure,200,1000,20,90.39190898,1.501
eigen,NAIVE,Pure,200,1000,40,95.2,1.448
eigen,NAIVE,Pure,200,1000,60,85.1758794,1.356
eigen,NAIVE,Pure,200,1500,40,87.29889924,1.647
eigen,NAIVE,Pure,200,1500,80,97.4537037,1.548
eigen,NAIVE,Pure,200,1500,120,88.41567291,1.605
eigen,NAIVE,Pure,200,2000,20,95.92340951,2.084
eigen,NAIVE,Pure,200,2000,40,94.81907895,2.561
eigen,NAIVE,Pure,200,2000,60,96.73913043,2.351
eigen,NAIVE,Pure,200,2500,40,96.82139253,2.644
eigen,NAIVE,Pure,200,2500,80,96.08108108,2.548
eigen,NAIVE,Pure,200,2500,120,86.51252408,2.324
eigen,NAIVE,Pure,200,3000,40,97.28374425,2.659
eigen,NAIVE,Pure,200,3000,80,96.05046626,2.664
eigen,NAIVE,Pure,200,3000,120,85.80034423,2.654
eigen,NAIVE,Pure,200,3500,40,98.42010772,3.004
eigen,NAIVE,Pure,200,3500,80,89.48126801,3.041
eigen,NAIVE,Pure,200,3500,120,94.26934097,3.369
eigen,NAIVE,Pure,200,4000,40,94.28571429,3.299
eigen,NAIVE,Pure,200,4000,80,87.7374071,3.167
eigen,NAIVE,Pure,200,4000,120,80.54862843,3.556
eigen,NAIVE,Pure,300,1000,20,96.03960396,2.62
eigen,NAIVE,Pure,300,1000,40,92.54766031,2.652
eigen,NAIVE,Pure,300,1000,60,100,2.831
eigen,NAIVE,Pure,300,1500,60,92.75484414,3.451
eigen,NAIVE,Pure,300,1500,120,91.73184358,4.274
eigen,NAIVE,Pure,300,1500,180,92.01331115,3.392
eigen,NAIVE,Pure,300,2000,20,99.00187149,4.39
eigen,NAIVE,Pure,300,2000,40,89.53586498,4.768
eigen,NAIVE,Pure,300,2000,60,88.08567604,4.76
eigen,NAIVE,Pure,300,2500,40,82.71155596,4.989
eigen,NAIVE,Pure,300,2500,80,96.81769148,5.848
eigen,NAIVE,Pure,300,2500,180,92.02020202,5.292
eigen,NAIVE,Pure,300,3000,60,94.53852667,7.013
eigen,NAIVE,Pure,300,3000,120,93.20282762,7.332
eigen,NAIVE,Pure,300,3000,180,94.87394958,5.9
eigen,NAIVE,Pure,300,3500,60,94.89103251,7.576
eigen,NAIVE,Pure,300,3500,120,92.31132075,7.103
eigen,NAIVE,Pure,300,3500,180,94.02017291,7.204
eigen,NAIVE,Pure,300,4000,60,96.76609105,9.208
eigen,NAIVE,Pure,300,4000,120,95.94202899,9.692
eigen,NAIVE,Pure,300,4000,180,92.60172626,10.368
WhatsTrust,NAIVE,Pure,100,1000,20,96.875,15.202
WhatsTrust,NAIVE,Pure,100,1000,40,97.4137931,9.254
WhatsTrust,NAIVE,Pure,100,1000,60,95.82245431,6.844
WhatsTrust,NAIVE,Pure,100,1500,20,96.50582363,21.467
WhatsTrust,NAIVE,Pure,100,1500,40,96.69603524,13.733
WhatsTrust,NAIVE,Pure,100,1500,60,98.02955665,10.732
WhatsTrust,NAIVE,Pure,100,2000,20,96.47132955,31.927
WhatsTrust,NAIVE,Pure,100,2000,40,95.21812081,16.036
WhatsTrust,NAIVE,Pure,100,2000,60,98.42995169,10.121
WhatsTrust,NAIVE,Pure,100,2500,20,96.93069307,33.746
WhatsTrust,NAIVE,Pure,100,2500,40,97.02098849,19.03
WhatsTrust,NAIVE,Pure,100,2500,60,97.1971972,12.968
WhatsTrust,NAIVE,Pure,100,3000,20,97.79166667,42.766
WhatsTrust,NAIVE,Pure,100,3000,40,96.77060134,21.907
WhatsTrust,NAIVE,Pure,100,3000,60,98.42061513,13.066
WhatsTrust,NAIVE,Pure,100,3500,20,98.47770931,46.271
WhatsTrust,NAIVE,Pure,100,3500,40,98.00486618,25.344
WhatsTrust,NAIVE,Pure,100,3500,60,97.12230216,14.998
WhatsTrust,NAIVE,Pure,100,4000,20,97.29645743,79.878
WhatsTrust,NAIVE,Pure,100,4000,40,97.47248267,27.141
WhatsTrust,NAIVE,Pure,100,4000,60,98.43260188,15.65
WhatsTrust,NAIVE,Pure,200,1000,20,96.08091024,153.992
WhatsTrust,NAIVE,Pure,200,1000,40,96.8,51.907
WhatsTrust,NAIVE,Pure,200,1000,60,95.9798995,16.421
WhatsTrust,NAIVE,Pure,200,1500,40,95.17358171,431.45
WhatsTrust,NAIVE,Pure,200,1500,80,95.71759259,55.754
WhatsTrust,NAIVE,Pure,200,1500,120,97.10391823,16.815
WhatsTrust,NAIVE,Pure,200,2000,20,96.47930821,186.494
WhatsTrust,NAIVE,Pure,200,2000,40,96.38157895,104.332
WhatsTrust,NAIVE,Pure,200,2000,60,94.68599034,34.802
WhatsTrust,NAIVE,Pure,200,2500,40,97.3259334,1388.948
WhatsTrust,NAIVE,Pure,200,2500,80,96.35135135,100.993
WhatsTrust,NAIVE,Pure,200,2500,120,95.18304432,28.044
WhatsTrust,NAIVE,Pure,200,3000,40,97.4091099,362.516
WhatsTrust,NAIVE,Pure,200,3000,80,97.47668678,524.513
WhatsTrust,NAIVE,Pure,200,3000,120,96.81583477,32.142
WhatsTrust,NAIVE,Pure,200,3500,40,96.69658887,406.31
WhatsTrust,NAIVE,Pure,200,3500,80,97.16618636,408.965
WhatsTrust,NAIVE,Pure,200,3500,120,97.77936963,36.234
WhatsTrust,NAIVE,Pure,200,4000,40,96.58385093,458.475
WhatsTrust,NAIVE,Pure,200,4000,80,95.5821635,1611.208
WhatsTrust,NAIVE,Pure,200,4000,120,96.82044888,36.55
WhatsTrust,NAIVE,Pure,300,1000,20,96.28712871,1262.951
WhatsTrust,NAIVE,Pure,300,1000,40,95.32062392,161.56
WhatsTrust,NAIVE,Pure,300,1000,60,97.31707317,31.39
WhatsTrust,NAIVE,Pure,300,1500,60,96.20893008,3564.778
WhatsTrust,NAIVE,Pure,300,1500,120,95.75418994,3074.649
WhatsTrust,NAIVE,Pure,300,1500,180,95.50748752,47.493
WhatsTrust,NAIVE,Pure,300,2000,20,95.50842171,4885.056
WhatsTrust,NAIVE,Pure,300,2000,40,95.78059072,315.056
WhatsTrust,NAIVE,Pure,300,2000,60,94.77911647,53.884
WhatsTrust,NAIVE,Pure,300,2500,40,96.31483167,1733.527
WhatsTrust,NAIVE,Pure,300,2500,80,95.5231931,1173.158
WhatsTrust,NAIVE,Pure,300,2500,180,96.96969697,68.965
WhatsTrust,NAIVE,Pure,300,3000,60,96.82472481,1475.885
WhatsTrust,NAIVE,Pure,300,3000,120,96.41109299,502.611
WhatsTrust,NAIVE,Pure,300,3000,180,95.6302521,92.098
WhatsTrust,NAIVE,Pure,300,3500,60,96.78456592,2623.646
WhatsTrust,NAIVE,Pure,300,3500,120,96.50943396,4985.783
WhatsTrust,NAIVE,Pure,300,3500,180,96.82997118,132.531
WhatsTrust,NAIVE,Pure,300,4000,180,96.7324291,102.461
socialtrust,NAIVE,Pure,200,1000,20,95.95448799,82.855
socialtrust,NAIVE,Pure,200,1000,40,97.28,23.335
socialtrust,NAIVE,Pure,200,1000,60,96.73366834,5.482
socialtrust,NAIVE,Pure,300,1000,20,97.77227723,410.543
socialtrust,NAIVE,Pure,300,1000,40,95.32062392,135.85
socialtrust,NAIVE,Pure,300,1000,60,96.09756098,20.723
socialtrust,NAIVE,Pure,100,2000,20,95.9042218,10.2
socialtrust,NAIVE,Pure,100,2000,40,96.81208054,4.253
socialtrust,NAIVE,Pure,100,2000,60,96.73913043,1.76
socialtrust,NAIVE,Pure,200,2000,20,96.84990735,183.05
socialtrust,NAIVE,Pure,200,2000,40,96.21710526,45.474
socialtrust,NAIVE,Pure,200,2000,60,95.28985507,11.457
socialtrust,NAIVE,Pure,300,2000,20,97.13038054,1117.04
socialtrust,NAIVE,Pure,300,2000,40,95.78059072,326.09
socialtrust,NAIVE,Pure,300,2000,60,96.78714859,42.963
socialtrust,NAIVE,Pure,100,1000,20,96.25,5.837
socialtrust,NAIVE,Pure,100,1000,40,96.72413793,2.573
socialtrust,NAIVE,Pure,100,1000,60,96.34464752,1.211
