num_users,num_trans,malicious_users,good_users,good_successes,good_transacts,strategy,success_rate,mal_percent,algorithm,trace
100,1000,20,80,752,800,collective,94,20,EigenTrust,trace_10101
100,1000,20,80,770,800,collective,96.25,20,SocialTrust,trace_10101
100,1000,20,80,771,800,collective,96.375,20,WhatsTrust+URL,trace_10101
100,1000,40,60,551,580,collective,95,40,EigenTrust,trace_10102
100,1000,40,60,560,580,collective,96.55172414,40,SocialTrust,trace_10102
100,1000,40,60,555,580,collective,95.68965517,40,WhatsTrust+URL,trace_10102
100,1000,60,40,383,383,collective,100,60,EigenTrust,trace_10103
100,1000,60,40,369,383,collective,96.34464752,60,SocialTrust,trace_10103
100,1000,60,40,365,383,collective,95.3002611,60,WhatsTrust+URL,trace_10103
100,1500,20,80,1172,1202,collective,97.50415973,20,EigenTrust,trace_10151
100,1500,20,80,1154,1202,collective,96.00665557,20,WhatsTrust+URL,trace_10151
100,1500,40,60,815,908,collective,89.75770925,40,EigenTrust,trace_10152
100,1500,40,60,880,908,collective,96.91629956,40,WhatsTrust+URL,trace_10152
100,1500,60,40,586,609,collective,96.22331691,60,EigenTrust,trace_10153
100,1500,60,40,604,609,collective,99.17898194,60,WhatsTrust+URL,trace_10153
100,2000,20,80,1540,1587,collective,97.0384373,20,EigenTrust,trace_10201
100,2000,20,80,1522,1587,naive,95.9042218,20,SocialTrust,trace_10201
100,2000,20,80,1535,1587,collective,96.72337744,20,WhatsTrust+URL,trace_10201
100,2000,40,60,1064,1192,collective,89.26174497,40,EigenTrust,trace_10202
100,2000,40,60,1154,1192,naive,96.81208054,40,SocialTrust,trace_10202
100,2000,40,60,1156,1192,collective,96.97986577,40,WhatsTrust+URL,trace_10202
100,2000,60,40,760,828,collective,91.78743961,60,EigenTrust,trace_10203
100,2000,60,40,801,828,naive,96.73913043,60,SocialTrust,trace_10203
100,2000,60,40,816,828,collective,98.55072464,60,WhatsTrust+URL,trace_10203
100,2500,20,80,2015,2020,collective,99.75247525,20,EigenTrust,trace_10251
100,2500,40,60,1416,1477,collective,95.87000677,40,EigenTrust,trace_10252
100,2500,60,40,952,999,collective,95.2952953,60,EigenTrust,trace_10253
100,3000,20,80,2320,2400,collective,96.66666667,20,EigenTrust,trace_10301
100,3000,40,60,1775,1796,collective,98.83073497,40,EigenTrust,trace_10302
100,3000,60,40,1166,1203,collective,96.92435578,60,EigenTrust,trace_10303
100,3500,20,80,2751,2759,collective,99.71003987,20,EigenTrust,trace_10351
100,3500,40,60,1947,2055,collective,94.74452555,40,EigenTrust,trace_10352
100,3500,60,40,1206,1390,collective,86.76258993,60,EigenTrust,trace_10353
100,4000,20,80,3014,3218,collective,93.66065879,20,EigenTrust,trace_10401
100,4000,40,60,2344,2453,collective,95.55646148,40,EigenTrust,trace_10402
100,4000,60,40,1371,1595,collective,85.95611285,60,EigenTrust,trace_10403
200,1000,40,160,731,791,collective,92.41466498,20,EigenTrust,trace_20101
200,1000,40,160,759,791,naive,95.95448799,20,SocialTrust,trace_20101
200,1000,40,160,756,791,collective,95.57522124,20,WhatsTrust+URL,trace_20101
200,1000,80,120,587,625,collective,93.92,40,EigenTrust,trace_20102
200,1000,80,120,608,625,naive,97.28,40,SocialTrust,trace_20102
200,1000,80,120,605,625,collective,96.8,40,WhatsTrust+URL,trace_20102
200,1000,120,80,352,398,collective,88.44221106,60,EigenTrust,trace_20103
200,1000,120,80,385,398,naive,96.73366834,60,SocialTrust,trace_20103
200,1000,120,80,381,398,collective,95.72864322,60,WhatsTrust+URL,trace_20103
200,1500,40,160,1054,1181,collective,89.24640135,20,EigenTrust,trace_20151
200,1500,80,120,849,864,collective,98.26388889,40,EigenTrust,trace_20152
200,1500,120,80,514,587,collective,87.56388416,60,EigenTrust,trace_20153
200,2000,40,160,1557,1619,collective,96.1704756,20,EigenTrust,trace_20201
200,2000,40,160,1568,1619,naive,96.84990735,20,SocialTrust,trace_20201
200,2000,40,160,1574,1619,collective,97.22050649,20,WhatsTrust+URL,trace_20201
200,2000,80,120,1159,1216,collective,95.3125,40,EigenTrust,trace_20202
200,2000,80,120,1170,1216,naive,96.21710526,40,SocialTrust,trace_20202
200,2000,80,120,1157,1216,collective,95.14802632,40,WhatsTrust+URL,trace_20202
200,2000,120,80,771,828,collective,93.11594203,60,EigenTrust,trace_20203
200,2000,120,80,789,828,naive,95.28985507,60,SocialTrust,trace_20203
200,2000,120,80,796,828,collective,96.1352657,60,WhatsTrust+URL,trace_20203
200,2500,40,160,1906,1982,collective,96.1654894,20,EigenTrust,trace_20251
200,2500,80,120,1412,1480,collective,95.40540541,40,EigenTrust,trace_20252
200,2500,120,80,914,1038,collective,88.0539499,60,EigenTrust,trace_20253
200,3000,40,160,2384,2393,collective,99.62390305,20,EigenTrust,trace_20301
200,3000,80,120,1760,1823,collective,96.54415798,40,EigenTrust,trace_20302
200,3000,120,80,976,1162,collective,83.99311532,60,EigenTrust,trace_20303
200,3500,40,160,2774,2785,collective,99.60502693,20,EigenTrust,trace_20351
200,3500,80,120,1957,2082,collective,93.99615754,40,EigenTrust,trace_20352
200,3500,120,80,1295,1396,collective,92.76504298,60,EigenTrust,trace_20353
200,4000,40,160,3080,3220,collective,95.65217391,20,EigenTrust,trace_20401
200,4000,80,120,2129,2422,collective,87.90255987,40,EigenTrust,trace_20402
200,4000,120,80,1411,1604,collective,87.96758105,60,EigenTrust,trace_20403
300,1000,60,240,777,808,collective,96.16336634,20,EigenTrust,trace_30101
300,1000,60,240,790,808,naive,97.77227723,20,SocialTrust,trace_30101
300,1000,60,240,778,808,collective,96.28712871,20,WhatsTrust+URL,trace_30101
300,1000,120,180,536,577,collective,92.89428076,40,EigenTrust,trace_30102
300,1000,120,180,550,577,naive,95.32062392,40,SocialTrust,trace_30102
300,1000,120,180,552,577,collective,95.66724437,40,WhatsTrust+URL,trace_30102
300,1000,180,120,403,410,collective,98.29268293,60,EigenTrust,trace_30103
300,1000,180,120,394,410,naive,96.09756098,60,SocialTrust,trace_30103
300,1000,180,120,393,410,collective,95.85365854,60,WhatsTrust+URL,trace_30103
300,1500,60,240,1069,1187,collective,90.0589722,20,EigenTrust,trace_30151
300,1500,120,180,857,895,collective,95.75418994,40,EigenTrust,trace_30152
300,1500,180,120,566,601,collective,94.17637271,60,EigenTrust,trace_30153
300,2000,60,240,1601,1603,collective,99.87523394,20,EigenTrust,trace_30201
300,2000,60,240,1557,1603,naive,97.13038054,20,SocialTrust,trace_30201
300,2000,60,240,1546,1603,collective,96.44416719,20,WhatsTrust+URL,trace_30201
300,2000,120,180,1070,1185,collective,90.29535865,40,EigenTrust,trace_30202
300,2000,120,180,1135,1185,naive,95.78059072,40,SocialTrust,trace_30202
300,2000,120,180,1142,1185,collective,96.37130802,40,WhatsTrust+URL,trace_30202
300,2000,180,120,647,747,collective,86.61311914,60,EigenTrust,trace_30203
300,2000,180,120,723,747,naive,96.78714859,60,SocialTrust,trace_30203
300,2000,180,120,705,747,collective,94.37751004,60,WhatsTrust+URL,trace_30203
300,2500,40,260,1812,2198,collective,82.43858053,13,EigenTrust,trace_30251
300,2500,80,220,1775,1854,collective,95.73894283,26,EigenTrust,trace_30252
300,2500,180,120,894,990,collective,90.3030303,60,EigenTrust,trace_30253
300,3000,60,240,2206,2362,collective,93.3954276,20,EigenTrust,trace_30301
300,3000,120,180,1773,1839,collective,96.41109299,40,EigenTrust,trace_30302
300,3000,180,120,1088,1190,collective,91.42857143,60,EigenTrust,trace_30303
300,3500,60,240,2662,2799,collective,95.10539478,20,EigenTrust,trace_30351
300,3500,120,180,1982,2120,collective,93.49056604,40,EigenTrust,trace_30352
300,3500,180,120,1297,1388,collective,93.44380403,60,EigenTrust,trace_30353
300,4000,60,240,3117,3185,collective,97.86499215,20,EigenTrust,trace_30401
300,4000,120,180,2356,2415,collective,97.55693582,40,EigenTrust,trace_30402
300,4000,180,120,1488,1622,collective,91.73859433,60,EigenTrust,trace_30403
